,,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,Abdominal Wall,Head & Neck: Craniofacial,GU: Uterus,Upper Limb: Bilateral,Upper Limb: Unilateral,"Face, Scalp"
,,30 to < 90 Days,,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Tennessee,All Time,,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0
,,< 30 Days,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TNEM-TX1 Erlanger Medical Center,All Center States,All Time,,219,219,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
,,
,Tennessee,All Time,,219,219,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
TNLB-TX1 Le Bonheur Children's Medical Center,All Center States,All Time,,10,2,4,0,0,4,0,0,0,0,0,0,0,0,0
,,< 30 Days,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,Tennessee,All Time,,10,2,4,0,0,4,0,0,0,0,0,0,0,0,0
,,< 30 Days,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
TNMH-TX1 Methodist University Hospital,All Center States,All Time,,989,901,69,6,20,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,35,25,8,0,2,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,35,29,7,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,95,70,21,2,2,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,104,85,15,0,5,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,245,225,12,3,7,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,168,164,4,1,2,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,194,193,1,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,113,110,1,0,2,0,0,0,0,0,0,0,0,0,0
,Tennessee,All Time,,989,901,69,6,20,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,35,25,8,0,2,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,35,29,7,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,95,70,21,2,2,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,104,85,15,0,5,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,245,225,12,3,7,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,168,164,4,1,2,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,194,193,1,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,113,110,1,0,2,0,0,0,0,0,0,0,0,0,0
,,
TNPV-TX1 Centennial Medical Center,All Center States,All Time,,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tennessee,All Time,,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
TNST-TX1 Saint Thomas Hospital,All Center States,All Time,,168,162,0,0,0,6,0,0,0,0,0,0,0,0,0
,,< 30 Days,,18,16,0,0,0,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,29,28,0,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,39,38,0,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,50,49,0,0,0,1,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tennessee,All Time,,168,162,0,0,0,6,0,0,0,0,0,0,0,0,0
,,< 30 Days,,18,16,0,0,0,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,29,28,0,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,39,38,0,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,50,49,0,0,0,1,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
TNUK-TX1 University of Tennessee Medical Center at Knoxville,All Center States,All Time,,244,244,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tennessee,All Time,,244,244,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0
,,
,,2 Years to < 3 Years,,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
TNVU-TX1 Vanderbilt University Medical Center,All Center States,All Time,,"1,522","1,303",179,1,14,55,10,0,0,0,0,0,0,0,0
,,< 30 Days,,98,72,15,0,0,11,5,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,116,92,18,0,4,5,3,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,198,157,30,0,2,14,2,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,179,145,35,0,2,4,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,379,330,35,1,4,16,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,227,213,13,0,0,4,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,215,200,15,0,2,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,111,94,18,0,0,0,0,0,0,0,0,0,0,0,0
,Tennessee,All Time,,"1,522","1,303",179,1,14,55,10,0,0,0,0,0,0,0,0
,,< 30 Days,,98,72,15,0,0,11,5,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,116,92,18,0,4,5,3,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,198,157,30,0,2,14,2,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,179,145,35,0,2,4,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,379,330,35,1,4,16,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,227,213,13,0,0,4,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,215,200,15,0,2,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,111,94,18,0,0,0,0,0,0,0,0,0,0,0,0
TXAS-TX1 Baylor  Scott and White All Saints Medical Center-Fort Worth,All Center States,All Time,,955,902,42,1,14,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,48,38,8,0,2,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,67,60,8,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,118,108,7,0,3,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,101,90,7,0,4,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,254,246,5,1,3,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,155,155,0,0,1,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,115,114,1,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,97,91,6,0,1,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,955,902,42,1,14,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,48,38,8,0,2,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,67,60,8,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,118,108,7,0,3,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,101,90,7,0,4,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,254,246,5,1,3,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,155,155,0,0,1,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,115,114,1,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,97,91,6,0,1,0,0,0,0,0,0,0,0,0,0
"TXBC-TX1 University Hospital, University of Texas Health Science Center",All Center States,All Time,,603,490,118,0,0,0,8,0,0,0,0,0,0,0,0
,,< 30 Days,,19,11,8,0,0,0,0,0,0,0,0,0,0,0,0
,,
,,30 to < 90 Days,,32,21,11,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,69,43,27,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,93,71,22,0,0,0,2,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,146,114,29,0,0,0,6,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,88,78,13,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,108,105,4,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,49,47,4,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,603,490,118,0,0,0,8,0,0,0,0,0,0,0,0
,,< 30 Days,,19,11,8,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,32,21,11,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,69,43,27,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,93,71,22,0,0,0,2,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,146,114,29,0,0,0,6,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,88,78,13,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,108,105,4,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,49,47,4,0,0,0,0,0,0,0,0,0,0,0,0
TXCF-TX1 Cook Children's Medical Center,All Center States,All Time,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TXCM-TX1 Children's Medical Center of Dallas,All Center States,All Time,,71,31,28,0,0,14,0,0,0,0,0,0,0,0,0
,,< 30 Days,,6,1,0,0,0,5,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,5,2,1,0,0,2,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,12,7,5,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,10,4,4,0,0,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,20,12,7,0,0,2,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,6,3,1,0,0,2,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,71,31,28,0,0,14,0,0,0,0,0,0,0,0,0
,,< 30 Days,,6,1,0,0,0,5,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,5,2,1,0,0,2,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,12,7,5,0,0,1,0,0,0,0,0,0,0,0,0
,,
,,6 Months to < 1 Year,,10,4,4,0,0,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,20,12,7,0,0,2,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,6,3,1,0,0,2,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
TXCT-TX1 Seton Medical Center Austin,All Center States,All Time,,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0
,,< 30 Days,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Texas,All Time,,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0
,,< 30 Days,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TXDC-TX1 Driscoll Children's Hospital,All Center States,All Time,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TXDL-TX1 Dell Children's Medical Center,All Center States,All Time,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,< 30 Days,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Texas,All Time,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,< 30 Days,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TXDM-TX1 North Austin Medical Center,All Center States,All Time,,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
,,
,,90 Days to < 6 Months,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
TXDR-TX1 Doctor's Hospital at Renaissance,All Center States,All Time,,222,222,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,222,222,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0
TXFW-TX1 Texas Health Harris Methodist Fort Worth Hospital,All Center States,All Time,,131,131,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,131,131,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
TXHD-TX1 Medical City Dallas Hospital,All Center States,All Time,,268,258,0,2,7,7,0,0,0,0,0,0,0,0,0
,,
,,< 30 Days,,22,20,0,0,4,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,35,32,0,1,1,2,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,36,36,0,0,2,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,89,88,0,0,0,1,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,39,37,0,0,0,2,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,27,25,0,1,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,268,258,0,2,7,7,0,0,0,0,0,0,0,0,0
,,< 30 Days,,22,20,0,0,4,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,35,32,0,1,1,2,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,36,36,0,0,2,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,89,88,0,0,0,1,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,39,37,0,0,0,2,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,27,25,0,1,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"TXHH-TX1 Memorial Hermann Hospital, University of Texas at Houston",All Center States,All Time,,315,225,33,0,5,55,3,1,0,0,0,0,0,0,0
,,< 30 Days,,12,2,1,0,0,8,2,1,0,0,0,0,0,0,0
,,30 to < 90 Days,,20,11,4,0,0,5,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,29,10,9,0,1,8,1,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,41,27,9,0,1,5,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,62,42,7,0,3,12,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,59,51,1,0,0,8,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,61,51,2,0,0,8,0,0,0,0,0,0,0,0,0
,,5 or More Years,,32,31,0,0,0,1,0,0,0,0,0,0,0,0,0
,Texas,All Time,,315,225,33,0,5,55,3,1,0,0,0,0,0,0,0
,,< 30 Days,,12,2,1,0,0,8,2,1,0,0,0,0,0,0,0
,,30 to < 90 Days,,20,11,4,0,0,5,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,29,10,9,0,1,8,1,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,41,27,9,0,1,5,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,62,42,7,0,3,12,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,59,51,1,0,0,8,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,61,51,2,0,0,8,0,0,0,0,0,0,0,0,0
,,5 or More Years,,32,31,0,0,0,1,0,0,0,0,0,0,0,0,0
TXHI-TX1 CHI St. Luke's Health Baylor College of Medicine Medical Center,All Center States,All Time,,"1,072",827,233,0,0,33,10,0,0,0,0,0,0,0,0
,,< 30 Days,,23,14,9,0,0,2,2,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,46,24,18,0,0,3,2,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,93,61,30,0,0,3,3,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,111,74,37,0,0,3,0,0,0,0,0,0,0,0,0
